code,Variety,Tm1,Topt,Tn2,minn,Tmin,Topt,Tmax,Tmin_BB_FL,Topt_BB_FL,Tmax_BB_FL,Tmin_FL_VER,Topt_FL_VER,Tmax_FL_VER,Cstar_BB,Fstar_BB,Fstar_BB_Fl_obs,Fstar_BB_Fl_obs_min,Fstar_BB_Fl_obs_max,Fstar_Fl_Ver_obs,Fstar_Fl_Ver_obs_min,Fstar_Fl_Ver_obs_max
4,Cabernet-Sauvignon,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,166.018,20.24,23.61,23.61,23.61,65.3,65.3,65.3
6,Chardonnay,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,199.014,12.5,22.26,22.26,22.26,63.28,63.28,63.28
7,Chasselas,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,196.681,12.4,24.46,24.46,24.46,53.4,53.4,53.4
14,Grenache,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,197.682,14.02,24.71,24.71,24.71,66.9,66.9,66.9
18,Merlot,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,152.141,19.91,24.96,24.96,24.96,64.45,64.45,64.45
20,Mourvedre,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,216.563,7.64,28.04,28.04,28.04,62.07,62.07,62.07
28,Pinot noir,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,198.534,12.98,21.85,21.85,21.85,59.5,59.5,59.5
32,Riesling,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,185.376,14.08,22.13,22.13,22.13,64.63,64.63,64.63
35,Sauvignon blanc,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,203.48,13.06,25.34,25.34,25.34,59.27,59.27,59.27
37,Syrah,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,198.627,13.55,23.91,23.91,23.91,59.99,59.99,59.99
41,Ugni blanc,-6.70222,7.94443,40.58017,-0.17114,0,26.09733,40,0,29.34,40,0,21.84,40,199.737,17.8,24.41,24.41,24.41,67.36,67.36,67.36
